ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_single_rhs_multiple_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
128,870,268,128,9,5.676520109176636,0.0006442148465204869,0.632317860921224,0.0,0.0,0.0,0.0,4.736,0.5261111111111112,0.013444444444444445,0.48188888888888887,0.00011111111111111112,0.00022222222222222223,0.027444444444444445,0.047,0.016444444444444442,0.0,0.008,0.007333333333333334,0.007,0.006111111111111111,0.005222222222222222,0.005333333333333333,0.005333333333333333,0.005222222222222222
256,870,268,128,8,7.847296714782715,0.0010430948830198968,0.5873563289642334,0.0,0.0,0.0,0.0,6.778,0.847125,0.016125,0.807,0.000125,0.00025,0.049625,0.067125,0.033,0.0,0.0155,0.0195,0.014,0.005,0.003875,0.004,0.004,0.003875
384,870,268,128,8,10.403981447219849,0.0014110834205744369,0.5828408400217692,0.0,0.0,0.0,0.0,9.592,1.19875,0.020875,1.15475,0.000125,0.00025,0.070375,0.115375,0.04975,0.0,0.023125,0.0295,0.021,0.005,0.00375,0.00375,0.003875,0.00375
512,870,268,128,7,8.057770013809204,0.0012203933896428585,0.6255742708841959,0.0,0.0,0.0,0.0,7.309,1.0438571428571428,0.016428571428571428,1.0027142857142857,0.00014285714285714287,0.00028571428571428574,0.040428571428571425,0.07828571428571429,0.07028571428571428,0.0,0.03257142857142857,0.04171428571428571,0.029714285714285714,0.005142857142857143,0.004,0.004,0.0041428571428571434,0.004
640,870,268,128,7,10.595662355422974,0.0016382316585179556,0.6188315550486246,0.0,0.0,0.0,0.0,9.825,1.4032857142857142,0.02157142857142857,1.357,0.00014285714285714287,0.00028571428571428574,0.061714285714285715,0.106,0.089,0.0,0.04114285714285714,0.052714285714285714,0.037571428571428575,0.005285714285714285,0.003857142857142857,0.004,0.0041428571428571434,0.003857142857142857
768,870,268,128,7,13.36655330657959,0.0020969416707607327,0.5961785316467285,0.0,0.0,0.0,0.0,12.528,1.7895714285714284,0.02914285714285714,1.733857142857143,0.00014285714285714287,0.00028571428571428574,0.08485714285714285,0.1362857142857143,0.10985714285714286,0.0,0.05042857142857143,0.06471428571428571,0.04585714285714286,0.006142857142857143,0.004,0.004,0.0041428571428571434,0.004
896,870,268,128,7,19.047805547714233,0.0030341571970721967,0.5697882175445557,0.0,0.0,0.0,0.0,16.297,2.3278571428571433,0.052142857142857144,2.245714285714286,0.00014285714285714287,0.0004285714285714286,0.11442857142857144,0.19157142857142856,0.13328571428571429,0.0,0.06,0.074,0.05357142857142857,0.007857142857142858,0.003857142857142857,0.004,0.004285714285714286,0.003857142857142857
1024,870,268,128,6,18.67049813270569,0.0034578184971864197,0.6206855773925781,0.0,0.0,0.0,0.0,17.367,2.894,0.09433333333333332,2.765333333333333,0.00016666666666666666,0.0005,0.1135,0.27299999999999996,0.18116666666666667,0.00016666666666666666,0.07433333333333333,0.08266666666666667,0.065,0.010333333333333333,0.003833333333333333,0.004166666666666667,0.0045,0.003833333333333333
1152,870,268,128,6,26.242040872573853,0.004908551079712303,0.6194042364756266,0.0,0.0,0.0,0.0,24.488,4.080666666666667,0.146,3.8985,0.00016666666666666666,0.0006666666666666666,0.1645,0.40650000000000003,0.23750000000000002,0.00016666666666666666,0.09100000000000001,0.09316666666666668,0.07683333333333334,0.011833333333333333,0.0035,0.004,0.0045,0.0036666666666666666
1280,870,268,128,6,34.548216581344604,0.006504043110790228,0.5971115430196127,0.0,0.0,0.0,0.0,32.746,5.456666666666667,0.208,5.210166666666667,0.00016666666666666666,0.001,0.22166666666666668,0.5626666666666666,0.295,0.00016666666666666666,0.11016666666666668,0.1045,0.09166666666666667,0.0135,0.0033333333333333335,0.003833333333333333,0.004666666666666667,0.0035
1408,870,268,128,6,41.86470818519592,0.007900999210498952,0.6214923063913981,0.0,0.0,0.0,0.0,40.399,6.732,0.2698333333333333,6.422,0.00016666666666666666,0.0011666666666666668,0.282,0.7355,0.3441666666666667,0.00016666666666666666,0.12483333333333334,0.11683333333333333,0.1145,0.0155,0.0033333333333333335,0.003833333333333333,0.004833333333333334,0.0033333333333333335
1536,870,268,128,6,49.05869960784912,0.009287464847053149,0.5781331062316895,0.0,0.0,0.0,0.0,47.954,7.990833333333334,0.32883333333333337,7.62,0.00016666666666666666,0.0013333333333333333,0.3153333333333333,0.9226666666666666,0.38833333333333336,0.00016666666666666666,0.13333333333333333,0.1305,0.131,0.016833333333333336,0.0031666666666666666,0.004,0.004833333333333334,0.0033333333333333335
1664,870,268,128,6,57.022791624069214,0.010805993594733538,0.61550505956014,0.0,0.0,0.0,0.0,55.943,9.322166666666666,0.3586666666666667,8.919500000000001,0.00016666666666666666,0.002,0.38116666666666665,1.0628333333333333,0.448,0.00016666666666666666,0.15583333333333335,0.13933333333333334,0.1745,0.017833333333333333,0.0031666666666666666,0.0045,0.005166666666666667,0.0033333333333333335
1792,870,268,128,6,64.5241346359253,0.012239411583653203,0.6344061692555746,0.0,0.0,0.0,0.0,63.455,10.574,0.39599999999999996,10.133666666666667,0.00016666666666666666,0.0021666666666666666,0.44716666666666666,1.2175,0.48300000000000004,0.00016666666666666666,0.16033333333333333,0.15166666666666667,0.18766666666666665,0.018,0.0031666666666666666,0.0045,0.005166666666666667,0.0033333333333333335
1920,870,268,128,6,71.60241389274597,0.013596482371309556,0.6287759145100912,0.0,0.0,0.0,0.0,70.54,11.754666666666667,0.4121666666666666,11.298,0.0003333333333333333,0.0023333333333333335,0.5061666666666667,1.3286666666666667,0.5415,0.00016666666666666666,0.17816666666666667,0.16733333333333333,0.2353333333333333,0.018166666666666668,0.0031666666666666666,0.0045,0.005333333333333333,0.0033333333333333335
2048,870,268,128,5,66.8620834350586,0.015228969658014874,0.6160654226938883,0.0,0.0,0.0,0.0,65.311,13.0602,0.43620000000000003,12.5792,0.0002,0.0028,0.567,1.4564,0.6008,0.0002,0.198,0.1712,0.252,0.0186,0.003,0.0048000000000000004,0.0052,0.0032
2304,870,268,128,5,79.55558562278748,0.018150256858474906,0.6019682884216309,0.0,0.0,0.0,0.0,78.403,15.678,0.4866,15.1448,0.0004,0.003,0.7154,1.7178,0.7016,0.0002,0.2242,0.1978,0.3004,0.0188,0.003,0.005,0.0054,0.0032
2560,870,268,128,5,92.93793296813965,0.021222641952193103,0.61944047609965,0.0,0.0,0.0,0.0,91.475,18.2922,0.5282,17.7168,0.0004,0.0034000000000000002,0.8635999999999999,1.9622,0.8044,0.0002,0.2606,0.2218,0.35459999999999997,0.0194,0.0032,0.0052,0.0056,0.0032
2816,870,268,128,5,107.38316822052002,0.02453804688435405,0.6426642735799154,0.0,0.0,0.0,0.0,105.785,21.154,0.5758,20.5306,0.0004,0.0036,1.0306,2.2214,0.9084,0.0002,0.29660000000000003,0.24820000000000003,0.39980000000000004,0.0198,0.0032,0.0052,0.0056,0.0032
3072,870,268,128,5,121.93609476089478,0.027883513622357012,0.6428105036417643,0.0,0.0,0.0,0.0,120.219,24.0402,0.6275999999999999,23.3642,0.0006000000000000001,0.004200000000000001,1.2246000000000001,2.5064,0.9734,0.0002,0.341,0.2726,0.4412,0.020200000000000003,0.003,0.0052,0.0058000000000000005,0.0032
3328,870,268,128,5,138.05369353294373,0.031596842561188325,0.6074283917744955,0.0,0.0,0.0,0.0,135.867,27.169600000000003,0.6826,26.437599999999996,0.0006000000000000001,0.0048000000000000004,1.3946,2.7616,1.1038000000000001,0.0004,0.383,0.3006,0.48200000000000004,0.0206,0.003,0.0052,0.0056,0.0032
3584,870,268,128,5,153.6364688873291,0.03517696583408049,0.6166675090789795,0.0,0.0,0.0,0.0,151.463,30.288400000000003,0.733,29.505200000000002,0.0006000000000000001,0.005,1.5888,3.0466,1.2292,0.0004,0.43179999999999996,0.323,0.5202,0.020999999999999998,0.003,0.0054,0.0058000000000000005,0.0032
3840,870,268,128,5,169.86837005615234,0.03887290335249627,0.7712404727935791,0.0,0.0,0.0,0.0,167.752,33.5462,0.7822,32.7134,0.0006000000000000001,0.0052,1.7675999999999998,3.3582,1.3554,0.0004,0.47759999999999997,0.3516,0.5614,0.0212,0.0032,0.0054,0.0058000000000000005,0.0032
4096,870,268,128,4,149.25436902046204,0.042712646220378944,0.6143601735432943,0.0,0.0,0.0,0.0,147.182,36.79075,0.82875,35.9115,0.00075,0.0055,1.96175,3.59425,1.5115,0.0005,0.56025,0.3915,0.708,0.02125,0.003,0.00525,0.006,0.00325
8192,870,268,128,3,288.60471367836,0.11030247978780461,0.7152414321899414,0.0,0.0,0.0,0.0,285.715,95.22933333333333,1.6286666666666667,93.54233333333333,0.0013333333333333333,0.009,5.4316666666666675,9.42,4.666333333333333,0.0013333333333333333,1.9403333333333332,0.7206666666666667,1.9716666666666667,0.023999999999999997,0.0029999999999999996,0.005666666666666667,0.006333333333333333,0.0029999999999999996
16384,870,268,128,2,482.6062078475952,0.2768675165614863,0.8567290306091309,0.0,0.0,0.0,0.0,478.486,239.224,3.7105,235.4505,0.0015,0.018,13.782,21.0965,11.593,0.003,5.4225,1.514,4.8245,0.026,0.003,0.006,0.0065,0.003
32768,870,268,128,1,559.2714636325836,0.6414845604549423,1.1798960367838542,0.0,0.0,0.0,0.0,553.538,553.491,8.023,545.401,0.002,0.033,29.914,43.097,34.382,0.01,14.841,5.088,14.21,0.027,0.003,0.006,0.007,0.003
65536,870,268,128,1,1236.8031866550446,1.4199737988212555,1.4259816805521648,0.0,0.0,0.0,0.0,1225.827,1225.724,15.378,1210.279,0.002,0.055,59.626,82.111,107.143,0.04,50.622,14.983,40.18,0.027,0.003,0.006,0.007,0.003

# Timing script options
# - ngrdcol_max = 65536
# - tasks = 128 -- results in a max of 512 columns per task
# - working dir = /glade/u/home/huebler/Code/clubb_performance_testing_feb25/clubb_7763_2x_intel/run_scripts
# - hostname = dec1980 : dec1980.de.hpc.ucar.edu
# - git hash = 5b0ecbcd973e5cb847d3e10a331f484975afa164
# - tweaked_params = C8,C6rt,C6thl,beta
# - gpu used = False
# - module list = ncarenv-basic/23.09:intel/2024.2.1:craype/2.7.31:ncarcompilers/1.0.0:gcc-toolchain/13.2.0:cray-mpich/8.1.29:hdf5/1.14.3:netcdf/4.9.2:gptl/8.1.1:conda/latest:intel-vtune/2024.2.1

# Metadata from clubb.in (the parameters listed are only the last set tested)
# &multicol_def
# ngrdcol = 512
# l_output_multi_col = .false.
# calls_per_out = 1
# /
# &clubb_params_nl
# C1 = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C1b = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C1c = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C2rt = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C2thl = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C2rtthl = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, ... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C4 = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, ... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C_uu_shr = 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4,... 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4
# C_uu_buoy = 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3... 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3
# C6rt = 1.0, 1.00587084148728, 1.0117416829745598, 1.0176125244618395, 1.0234833659491194, 1.02935420..., 3.9706457925636007, 3.9765166340508804, 3.98238747553816, 3.98825831702544, 3.99412915851272, 4.0
# C6rtb = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C6rtc = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C6thl = 1.0, 1.00587084148728, 1.0117416829745598, 1.0176125244618395, 1.0234833659491194, 1.0293542..., 3.9706457925636007, 3.9765166340508804, 3.98238747553816, 3.98825831702544, 3.99412915851272, 4.0
# C6thlb = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C6thlc = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C7 = 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, ... 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
# C7b = 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5,... 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
# C7c = 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5,... 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
# C8 = 0.25, 0.25146771037182, 0.25293542074363995, 0.25440313111545987, 0.25587084148727984, 0.257338..., 0.9926614481409002, 0.9941291585127201, 0.99559686888454, 0.99706457925636, 0.99853228962818, 1.0
# C8b = 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02....02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02
# C11 = 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4,... 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4
# C11b = 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4... 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4
# C11c = 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5... 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
# C12 = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C14 = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C_wp2_pr_dfsn = 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,... 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
# C_wp3_pr_tp = 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0... 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
